VARIABLE_SET_ID,VARIABLE_ID,VALID_FROM,VALID_TO,SUBDOMAIN_ID,IS_FLOW,ORDER
ECB6_EBA_433062,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431213,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431179,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431196,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431258,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431315,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432430,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432252,EBA_MI340,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432018,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432030,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432693,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432991,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_432999,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_433008,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431231,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431239,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431149,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431222,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431249,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432354,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432415,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432221,EBA_MI340,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431970,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431965,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432679,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432987,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_432995,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_433003,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431227,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431235,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431200,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431166,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431183,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431217,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431243,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432410,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432226,EBA_MI340,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431975,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431980,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432674,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432992,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_433000,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_433009,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431232,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431240,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431150,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431223,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431250,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432355,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432416,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
