MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB6,ECB6_EBA_432157,Variable set for combination EBA_432157,EBA_432157,Variable set for combination EBA_432157
ECB6,ECB6_EBA_432772,Variable set for combination EBA_432772,EBA_432772,Variable set for combination EBA_432772
ECB6,ECB6_EBA_433201,Variable set for combination EBA_433201,EBA_433201,Variable set for combination EBA_433201
ECB6,ECB6_EBA_433221,Variable set for combination EBA_433221,EBA_433221,Variable set for combination EBA_433221
ECB6,ECB6_EBA_433241,Variable set for combination EBA_433241,EBA_433241,Variable set for combination EBA_433241
ECB6,ECB6_EBA_431705,Variable set for combination EBA_431705,EBA_431705,Variable set for combination EBA_431705
ECB6,ECB6_EBA_431725,Variable set for combination EBA_431725,EBA_431725,Variable set for combination EBA_431725
ECB6,ECB6_EBA_431568,Variable set for combination EBA_431568,EBA_431568,Variable set for combination EBA_431568
ECB6,ECB6_EBA_432533,Variable set for combination EBA_432533,EBA_432533,Variable set for combination EBA_432533
ECB6,ECB6_EBA_432568,Variable set for combination EBA_432568,EBA_432568,Variable set for combination EBA_432568
ECB6,ECB6_EBA_432311,Variable set for combination EBA_432311,EBA_432311,Variable set for combination EBA_432311
ECB6,ECB6_EBA_432143,Variable set for combination EBA_432143,EBA_432143,Variable set for combination EBA_432143
ECB6,ECB6_EBA_432131,Variable set for combination EBA_432131,EBA_432131,Variable set for combination EBA_432131
ECB6,ECB6_EBA_432760,Variable set for combination EBA_432760,EBA_432760,Variable set for combination EBA_432760
ECB6,ECB6_EBA_433111,Variable set for combination EBA_433111,EBA_433111,Variable set for combination EBA_433111
ECB6,ECB6_EBA_433131,Variable set for combination EBA_433131,EBA_433131,Variable set for combination EBA_433131
ECB6,ECB6_EBA_433151,Variable set for combination EBA_433151,EBA_433151,Variable set for combination EBA_433151
ECB6,ECB6_EBA_431487,Variable set for combination EBA_431487,EBA_431487,Variable set for combination EBA_431487
ECB6,ECB6_EBA_431507,Variable set for combination EBA_431507,EBA_431507,Variable set for combination EBA_431507
ECB6,ECB6_EBA_431350,Variable set for combination EBA_431350,EBA_431350,Variable set for combination EBA_431350
ECB6,ECB6_EBA_431528,Variable set for combination EBA_431528,EBA_431528,Variable set for combination EBA_431528
ECB6,ECB6_EBA_432464,Variable set for combination EBA_432464,EBA_432464,Variable set for combination EBA_432464
ECB6,ECB6_EBA_432499,Variable set for combination EBA_432499,EBA_432499,Variable set for combination EBA_432499
ECB6,ECB6_EBA_432275,Variable set for combination EBA_432275,EBA_432275,Variable set for combination EBA_432275
ECB6,ECB6_EBA_432073,Variable set for combination EBA_432073,EBA_432073,Variable set for combination EBA_432073
ECB6,ECB6_EBA_432061,Variable set for combination EBA_432061,EBA_432061,Variable set for combination EBA_432061
ECB6,ECB6_EBA_432726,Variable set for combination EBA_432726,EBA_432726,Variable set for combination EBA_432726
ECB6,ECB6_EBA_433209,Variable set for combination EBA_433209,EBA_433209,Variable set for combination EBA_433209
ECB6,ECB6_EBA_433229,Variable set for combination EBA_433229,EBA_433229,Variable set for combination EBA_433229
